key	en	vi	cs
misc_faqs	frequently asked questions	các câu hỏi thường gặp	často kladené otázky
misc_fetch_ares	Fetch from ARES	Tải từ ARES	Načíst z ARES
misc_fetch_coordinates	fetch coordinates	lấy toạ độ	získat souřadnice
misc_fill_pdf	Fill PDF	Điền PDF	Vyplnit PDF
misc_filter	Filter	Lọc	Filtr
misc_first_name	first name	tên	jméno
misc_forgotten_password	Forgot password	Quên mật khẩu	Zapomenuté heslo
misc_form	Form	Đơn	Formulář
misc_form_addition	addition for form	chi tiết cho mẫu đơn	dodatek k formuláři
misc_form_contact	form contact	thông tin liên hệ của đơn	kontakty formuláře
misc_form_deleted	Form deleted	Đơn đã xoá	Formulář smazán
misc_form_not_linked	form not linked	đơn không kết nối	formulář není odkazován
misc_form_reference_added	Form reference added	đã tạo tham chiếu đơn	Reference formuláře přidána
misc_forms	Forms	Đơn	Formuláře
misc_forms_exist	forms exist	đơn tồn tại	formuláře existují
misc_front_side	front side	phía trước	přední strana
misc_full_name	Surname and first name	Họ và tên	Jméno a příjmení
misc_generate_documents	generate documents	tạo tài liệu	generovat dokumenty
misc_generate_keys	Generate keys	Tạo khoá	Generování klíčů
misc_generate_pdf	Generate PDF	Tạo PDF	Generovat PDF
misc_generate_token	generate token	tạo token	generovat token
misc_generate_token_and_send	generate token and send	tạo token và gửi	generovat token a odeslat
misc_get_current_location	get current location	lấy vị trí hiện tại	získat aktuální polohu
misc_get_pdf	get PDF	tải PDF	stáhnout PDF
misc_grant_location_permission	yes	cấp quyền truy cập vị trí	udělit povolení k použití polohy
misc_grant_permission	grant permission	cho phép quyền	udělit povolení
misc_has_active_terminal	Has active terminal	Có máy đang hoạt động	Má aktivní terminál
misc_has_registered_device	has registered device	đã đăng ký thiết bị 	má registrované zařízení
misc_hidden	hidden	ẩn	skryto
misc_home_page	home page	trang chính	domovská stránka
misc_hour	hour	giờ 	hodina
misc_hour_short	h.	giờ 	hod.
misc_hours	hours	giờ 	hodiny
misc_id_document	identity document	thẻ căn cước	osobní doklad
misc_import	import	import	import
misc_import_leads	import leads	tải lên leads	nahrát leady
misc_imported	imported	đã import	importováno
misc_imported_list	imported list	danh sách nhập	importovaný seznam
misc_installation_fee	installation fees	phí lắp đặt	poplatky za instalace
misc_installed	installed	đã lắp	instalováno
misc_is_available	is available	có sẵn 	dostupný
misc_issued	issued	cấp bởi	vystavil
misc_issued_bills	issued bills	hoá đơn đã cấp	vystavené faktury
misc_issuer	issuer	nhà phát hành	vystavitel
misc_item	item	mục	položka
misc_items	items	mục	položky
misc_key	key	chìa khoá	klíč
misc_language	Language	Ngôn ngữ	Jazyk
misc_last_name	last name	họ	příjmení
misc_last_update	last update	cập nhập lần cuối	poslední aktualizace
misc_late	late	trễ	pozdě
misc_latitude	latitude	vĩ độ 	zeměpisná šířka
misc_leads	leads	leads	leads
misc_load_transactions	load transactions	tải giao dịch	načíst transakce
misc_loaded	loaded	đã tải	načteno
misc_loading_data	loading data	đang tải dữ liệu	data se načítá
misc_local_devices	local devices	thiết bị cục bộ 	Lokální zařízení
misc_location_not_found	location not found	không tìm thấy vị trí	poloha nenalezena
misc_location_permission_required	location permission required	cần quyền sử dụng vị trí	požadováno povolení k použití polohy
misc_login	Login	Đăng nhập	Přihlášení
misc_longitude	longitude	kinh độ 	zeměpisná délka
misc_managed_by	merchant managed by	được quản lý bởi	pod kontrolou
misc_manager	Manager	Quản lý	Manažer
misc_max_local_devices	max local devices	thiết bị cục bộ tối đa 	Maximální lokální zařízení
misc_merchant	merchant	nhà bán buôn	obchodník
misc_merchant_email	merchant e-mail	e-mail nhà bán buôn	e-mail obchodníka
misc_merchant_exists	merchant exists	nhà bán buôn đã tồn tại	obchodník již existuje
misc_merchant_not_exist	merchant not exists	nhà bán buôn không tồn tại	obchodník neexistuje
misc_merchant_telephone	merchant telephone	số điện thoại nhà bán buôn	telefonní číslo obchodníka
misc_merchants	merchants	nhà bán buôn	obchodníci
misc_message	message	thông báo	zpráva
misc_method	Method	Phương thức	Metoda
misc_min	minute	phút	minut
misc_min_short	min.	phút	min.
misc_mins	minutes	phút	minuty
misc_missing	missing	thiếu	chybí
misc_model	model	model	model
misc_modified	modifed	đã thay đổi	modifikováno
misc_month	month	tháng	měsíc
misc_month_april	april	tháng 4	duben
misc_month_april_short	apr	t4	dub
misc_month_august	august	tháng 8	srpen
misc_month_august_short	aug	t8	srp
misc_month_december	december	tháng 12	prosinec
misc_month_december_short	dec	t12	pro
misc_month_february	february	tháng 2	únor
misc_month_february_short	feb	t2	únor
misc_month_january	january	tháng 1	leden
misc_month_january_short	jan	t1	led
misc_month_july	july	tháng 7	červenec
misc_month_july_short	jul	t7	čvrnec
misc_month_june	june	tháng 6	červen
misc_month_june_short	jun	t6	čvrn
misc_month_march	march	tháng 3	březen
misc_month_march_short	mar	t3	břez
misc_month_may	may	tháng 5	květen
misc_month_may_short	may	t5	květ
misc_month_november	november	tháng 11	listopad
misc_month_november_short	nov	t11	lis
misc_month_october	october	tháng 10	říjen
misc_month_october_short	oct	t10	říj
misc_month_september	september	tháng 9	září
misc_month_september_short	sep	t9	zář
misc_move_from	move from	chuyển từ 	odkazován od
misc_move_status_to	move status to	chuyển trạng thái thành	přepnout do statusu
misc_move_to	move to	chuyển đến	odkazován na
misc_must_be_registered_by_employer	you must be registered by employer	bạn phải được đăng ký bởi nhà tuyển dụng	musíte být registrován(a) zaměstnavatelem
misc_my_today_workplaces	my today working places	nơi làm việc hôm nay của tôi	moje dnešní pracoviště
misc_my_working_hours	my working hours	thời gian làm việc của tôi	moje pracovní doba
misc_name	Name	Tên	Název
misc_nearby_workplaces	nearby workplaces	chỗ làm gần đây	blízká pracoviště
misc_need_camera_permission_to_scan	we need camera permission to scan	chúng tôi cần quyền truy cập camera để scan	potřebujeme povolení k použití kamery pro skenování
misc_new	new	mới	nový
misc_new_bill	new bill	hoá đơn mới	nová faktura
misc_new_company	new company	công ty mới	Nová společnost
misc_new_contract	new contract	hợp đồng mới	nová smlouva
misc_new_employee	new employee	nhân viên mới	nový zaměstnanec
misc_new_faq	New FAQ	FAQ mới	Nové FAQ
misc_new_form	new form	đơn mới	nový formulář
misc_new_merchant	New Merchant	Nhà bán buôn mới	Nový obchodník
misc_new_password	New password	Mật khẩu mới	Nové heslo
misc_new_payment_terminal	New payment terminal	Máy trả thẻ mới	Nový platební terminál
misc_new_store	new store	cửa hàng mới	nová provozovna
misc_new_user	new user	người dùng mới	nový uživatel
misc_no	no	không	ne
misc_no_attendance	no attendance	không có dữ liệu điểm danh	není žádná docházka
misc_no_columns	no columns	không có cột	nejsou žádné sloupce
misc_no_company	no company	không có công ty	není žádná společnost
misc_no_document	no document	không có tài liệu	žádný dokument
misc_no_document_uploaded	no document uploaded	không có tài liệu nào được tải lên	žádný dokument nebyl nahrán
misc_no_local_device	no local devices	không có thiết bị cục bộ	není žádné lokální zařízení
misc_no_nearby_workplace	no nearby workplace found	không có chỗ làm việc gần đây	není nalezeno žádné blízké pracoviště
misc_no_store	No store	Không có cửa hàng	Žádná provozovna
misc_no_terminal	no terminals	không có máy	žádný terminál
misc_no_terminal_model	mo specific terminal model	không có model máy chính xác 	není specifický model terminálu
misc_no_transaction	No transactions	Không có giao dịch	Žádná transakce
misc_no_transactions	no transaction	không có giao dịch	žádná transakce
misc_non_taxpayer	non taxpayer	người không trả thuế	neplátce DPH
misc_not_included	not included	không được bao gồm	nezahrnuto
misc_notes	Notes	Ghi chú	Poznámky
misc_notification	Notification	Thông báo	Notifikace
misc_opening	opening	đang mở	otevřeno
misc_opening_soon	opening soon	sắp mở cửa	brzy otevřeno
misc_operations	Operations	Tác vụ	Operace
misc_others	others	khác	jiné
misc_out_of_hours	out of Hours	đã qua giờ làm việc	mimo pracovní dobu
misc_partner	partner	đối tác	partner
misc_partner_of	partner of	đối tác của	partnerem od
misc_partners	partners	đối tác	partneři
misc_password	Password	Mật khẩu	Heslo
misc_payment	Payment	Thanh toán	Platba
misc_payment_method	payment method	phương thức thanh toán	platební metoda
misc_payment_terminal	payment terminal	máy trả thẻ	platební terminál
misc_payment_terminal_added	Payment terminal added	Máy trả thẻ đã tạo	Platební terminál přidán
misc_payment_terminal_deleted	Payment terminal deleted	Máy trả thẻ đã xoá	Platební terminál smazán
misc_payment_terminal_updated	Payment terminal updated	Máy trả thẻ đã cập nhập	Platební terminál aktualizován
misc_payment_terminals	payment terminals	máy trả thẻ	platební terminály
misc_pending	pending	chờ xử lý	čeká na vyřízení
misc_permission_denied	permission denied	quyền truy cập bị từ chối	přístup odepřen
misc_photo	photo	ảnh	fotka
misc_plan	plan	gói	plán
misc_plans	plans	gói	plány
misc_portal	Portal	Portal	Portál
misc_position	position	vị trí	pozice
misc_postal_code	Postal code	Mã bưu điện	PSČ
misc_previous_month	previous month	tháng trước	minulý měsíc
misc_price	price	giá	cena
misc_private_key	Private key	Khóa riêng	Soukromý klíč
misc_product_description	Product description	Mô tả sản phẩm	Popis produktu
misc_profile	Profile	Profile	Profil
misc_provider	Provider	Nhà phát hành	Zprostředkovatel
misc_provision	provision	phí hoa hồng	provize
misc_provision_april	Provision April	Hoa hồng Tháng 4	Provize Duben
misc_provision_august	Provision August	Hoa hồng Tháng 8	Provize Srpen
misc_provision_december	Provision December	Hoa hồng Tháng 12	Provize Prosinec
misc_provision_february	Provision February	Hoa hồng Tháng 2	Provize Únor
misc_provision_january	Provision January	Hoa hồng Tháng 1	Provize Leden
misc_provision_july	Provision July	Hoa hồng Tháng 7	Provize Červenec
misc_provision_june	Provision June	Hoa hồng Tháng 6	Provize Červen
misc_provision_march	Provision March	Hoa hồng Tháng 3	Provize Březen
misc_provision_may	Provision May	Hoa hồng Tháng 5	Provize Květen
misc_provision_november	Provision November	Hoa hồng Tháng 11	Provize Listopad
misc_provision_october	Provision October	Hoa hồng Tháng 10	Provize Říjen
misc_provision_rate	provision rate	tỷ lệ hoa hồng	sazba provize
misc_provision_september	Provision September	Hoa hồng Tháng 9	Provize Září
misc_public_key	Public key	Khóa công khai	Veřejný klíč
misc_purchaser	purchaser	người đăng ký	odběratel
misc_quantity	quantity	số lượng	množství
misc_quantity_shortcut	qty.	s.l.	poč.
misc_question	question	câu hỏi	otázka
misc_questions	questions	câu hỏi	otázky
misc_rate	rate	tỷ lệ	sazba
misc_real_approved	real approved	số lượng đã duyệt thực tế	reálný počet schválených
misc_real_installed	real installed	số lượng đã lắp thực tế	reálný počet instalovaných
misc_real_returned	real returned	số lượng trả lại thực tế	reálný počet vrácených
misc_real_submitted	real submitted	số lượng đã nhận thực tế	reálný počet zadaných
misc_reason	Reason	Lý do	Důvod
misc_receiver	receiver	người nhận	příjemce
misc_recommended	recommended	khuyến khích	doporučeno
misc_reference	reference	kết nối	odkaz
misc_references	references	kết nối	odkazy
misc_refresh_location	refresh location	làm mới vị trí	obnovit polohu
misc_registration	Registration	Đăng ký	Registrace
misc_registration_token	registrion token	mã đăng ký	registrační token
misc_remove_item	Remove item	Xoá mục	Odstranit položku
misc_renew_password	Renew password	Khôi phục mật khẩu	Obnova hesla
misc_required	Required	Cần thiết	Požadováno
misc_rescan	rescan	quét lại	znovu naskenovat
misc_resend_mail	resend email	gửi lại email	znovu poslat email
misc_responsible_person	responsible person	người chịu trách nhiệm	zodpovědná osoba
misc_restaurant	restaurant	nhà hàng	restaurace
misc_result	result	kết quả	výsledek
misc_results_2nd	results	kết quả	výsledků
misc_retail_store	retail store	cửa hàng bán lẻ	maloobchod
misc_returned	returned	trả lại	vráceno
misc_returned_date	Returned date	Ngày trả lại	Den vrácení
misc_role	Role	Chức vụ	Role
misc_row	row	hàng	řádek
misc_rows_per_page	Rows per page	Hàng trên trang	Řádků na stránku
misc_same_store	same store	cùng một cửa hàng	stejný obchod
misc_save	Save	Lưu	Uložit
misc_save_and_back	Save and back	Lưu và trở lại	Uložit a zpět
misc_save_and_send	Save and send	Lưu và gửi	Uložit a poslat
misc_save_changes_first	save changes first	lưu thay đổi trước	uložte nejprve změny
misc_save_draft	save draft	lưu nháp	uložit koncept
misc_save_merchant	save new merchant	lưu nhà bán buôn mới	uložit nového obchodníka
misc_save_signature	save signature	lưu chữ ký	uložit podpis
misc_save_transactions	save transactions	lưu giao dịch	uložit transakce
misc_scanning_local_devices	scanning for local devices	đang quét thiết bị cục bộ	skenování lokálních zařízení
misc_searched	searched	tìm	vyhledávaný
misc_select_all	select all	chọn tất cả	vybrat vše
misc_selected	selected	đã chọn	vybráno
misc_send	send	gửi	odeslat
misc_send_addition_mail	send addition mail	gửi mail thêm chi tiết	poslat email pro doplnění
misc_send_mail	send e-mail	gửi e-mail	poslat e-mail
misc_send_upload_signed_mail	Send email to sign	Gửi email để ký	Poslat email pro podpis
misc_sent	sent	đã gửi	odesláno
misc_service	service	dịch vụ	služby
misc_settings	Settings	Cài đặt	Nastavení
misc_setup_urls	set up URLS	cài đặt URL	nastavit URL
misc_shortcut	shortcut	viết tắt	zkratka
misc_show	show	hiển thị	zobrazit
misc_show_on_website	show on website	hiển thị trên trang web	zobrazit na webovou stránku
misc_showed	showed	hiển thị	zobrazeno
misc_signed_documents	signed documents	tài liệu đã ký	podepsané dokumenty
misc_since_last_month	since last month	từ tháng trước	od minulého měsíce
misc_software	Software	Phần mềm	Software
misc_software_name	Software name	Tên phần mềm	Název softwaru
misc_sort_by	Sort by	Xếp theo	Seřadit podle
misc_status	Status	Tình trạng	Stav
misc_status_updated	status updated	trạng thái đã được cập nhập	status aktualizován
misc_store	Store	Cửa hàng	Provozovna
misc_store_added	Store added	Cửa hàng đã được thêm	Provozovna přidána
misc_store_address	Store address	Địa chỉ cửa hàng	Adresa obchodu
misc_store_deleted	Store deleted	Cửa hàng đã được xoá	Provozovna odstraněna
misc_store_name	Store name	Tên cửa hàng	Název provozovny
misc_store_updated	Store updated	Cửa hàng đã được cập nhập	Provozovna aktualizována
misc_stores	stores	cửa hàng	provozovny
misc_stores_list	Stores list	Danh sách cửa hàng	Seznam provozoven
misc_stores_shortcut	stores	cửa hàng	prov.
misc_street	Street	Đường	Ulice
misc_submitted	submitted	đã nhận	zadáno
misc_summary	summary	tổng kết	shrnutí
misc_supervisor	supervisor	cấp trên	vedoucí
misc_supervisor_email	Supervisor's e-mail	E-mail cấp trên	E-mail nadřízeného
misc_supplier	supplier	nhà cung cấp	dodavatel
misc_supported_extensions	supported extensions	loại tệp hỗ trợ	podporované typy souboru
misc_table_columns	table columns	cột bảng	sloupce tabulky
misc_take_document_photo	take ID documents photo	chụp ảnh thẻ căn cước	vyfotit ID dokumenty
misc_taxpayer	taxpayer	người trả thuế	plátce DPH
misc_technical_support	technical support	hỗ trợ kỹ thuật	technická podpora
misc_telephone	Telephone	Số điện thoại	Telefon
misc_telephones	Telephones	Số điện thoại	Telefony
misc_template	template	mẫu	šablona
misc_templates	templates	mẫu	šablony
misc_terminal_esim_desc	Fee 50 CZK per month	Phí 50 CZK mỗi tháng	Poplatek 50Kč měsíčně
misc_terminal_esim_name	eSIM terminal	Máy trả thẻ eSIM	eSIM terminál
misc_terminal_fee	terminal rental fees	phí thuê máy trả thẻ	poplatky za pronájem terminálu
misc_terminal_id	terminal ID	ID máy	ID terminálu
misc_terminal_lan_desc	Ethernet (LAN) connection	Kết nối mạng LAN (Ethernet)	Ethernet (LAN) připojení
misc_terminal_lan_name	Stationary terminal	Máy trả thẻ cố định	Stacionární terminál
misc_terminal_name	terminal name	tên máy trả thẻ	název terminálu
misc_terminal_rental	terminal rental	thuê máy	pronájem terminálu
misc_terminal_type	terminal type	loại máy trả thẻ	typ terminálu
misc_terminal_wifi_desc	Wifi connecttion	Kết nối Wifi	Wifi připojení
misc_terminal_wifi_name	Mobile terminal	Máy trả thẻ di động	Mobilní terminál
misc_test_mode	Test mode	Test mode	Testovací režim
misc_this_month	this month	tháng hiện tại	tento měsíc
misc_tin	TIN	IČO	IČO
misc_tin_changed	TIN changed	Đổi IČO	Změna IČO
misc_title	title	bằng cấp	titul
misc_to_change_password	Change password	Đổi mật khẩu	Změnit heslo
misc_to_login	Login	Đăng nhập	Přihlásit se
misc_to_logout	Logout	Đăng xuất	Odhlásit se
misc_to_recover_password	Recover password	Khôi phục mật khẩu	Obnovte heslo
misc_to_register	Register	Đăng ký	Registrovat
misc_to_search	Search	Tìm	Vyhledávat
misc_today_closed	today closed	hôm nay đóng	dnes zavřeno
misc_total	Total	Tổng	Celkem
misc_total_price	total price	tiền tổng	celková částka
misc_transaction_fee	transaction fees	phí giao dịch	poplatky za transakce
misc_transactions	transactions	giao dịch	transakce
misc_transfer_fee	transfer fees	phí chuyển khoản	poplatky za převod
misc_true	true	đúng	správně
misc_turnover	turn over	doanh thu	obrat
misc_type	Type	Loại	Typ
misc_unable_to_open_settings	unable to open settings	không thể mở cài đặt	není možné otevřít nastavení
misc_unavailable	unavailable	không có sẵn 	nedostupný
misc_unconfirmed	unconfirmed	chưa xác nhận	nepotvrzeno
misc_undefined	undefined	chưa xác định	nedefinováno
misc_unsent	unsent	chưa gửi	neposláno
misc_unsigned_documents	unsigned documents	tài liệu chưa ký	nepodepsané dokumenty
misc_untitled	untitled	chưa điền	nezadáno
misc_update	Update	Cập nhập	Aktualizovat
misc_update_payment_terminal	Update payment terminal	Cập nhập máy trả thẻ	Aktualizovat platební terminál
misc_update_store	Update store	Cập nhập cửa hàng	Aktualizovat provozovnu
misc_updated	updated	đã cập nhập	aktualizováno
misc_upload	upload	tải lên	nahrát
misc_upload_mail_sent	email for signature sent	Gửi email để ký	Email pro podpis odeslán
