key	en	vi	cs
misc_created_bills	Created bills	Hoá đơn được tạo	Vytvořené faktury
misc_created_date	Created day	Ngày tạo	Den založení
misc_creator	Creator	Người tạo	Tvůrce
misc_creator_email	Creator's e-mail	E-mail người tạo	E-mail tvůrce
misc_currency	Currency	Tiền tệ	Měna
misc_dashboard	Dashboard	Dashboard	Dashboard
misc_date	Date	Ngày	Datum
misc_day	Day	Ngày	Den
misc_ddc_reward	DDC reward	thưởng DDC	odměna DDC
misc_decided	Decided	Quyết định	Rozhodnuto
misc_decided_date	Decided day	Ngày quyết định	Den rozhodnutí
misc_default	default	mặc định	výchozí
misc_delayed	delayed	muộn	zpožděno
misc_delete	delete	xoá	smazat
misc_delete_draft	delete draft	xoá nháp	smazat koncept
misc_delete_form	Delete form	Xoá đơn	Smazat formulář
misc_delete_store	Delete store	Xoá cửa hàng	Smazat provozovnu
misc_deleted	deleted	đã xoá	smazáno
misc_deleted_draft	deleted draft	đã xoá nháp	koncept smazán
misc_delimiter	delimiter	phân cách	oddělovač
misc_details	details	chi tiết	podrobnosti
misc_device	Device	Máy	Zařízení
misc_device_id	device ID	ID thiết bị	ID zařízení
misc_device_paired	device paired	thiết bị đã ghép nối	zařízení spárováno
misc_device_pairing	device pairing	ghép nối thiết bị	spárování zařízení
misc_device_pairing_failed	Device pairing failed	Ghép nối thiết bị thất bại	Párování zařízení selhalo
misc_device_registration	Device registration	Đăng ký thiết bị	Registrace zařízení
misc_devices	Devices	Máy	Zařízení
misc_dinner	Dinner	Bữa tối	Večeře
misc_disable	disable	tắt	zakázat
misc_distance	distance	khoảng cách	vzdálenost
misc_distance_left	distance left	khoảng cách còn lại	zbývající vzdálenost
misc_do_not_forget_check_out_before	Do not forget to check out before	Đừng quên check out trước	Nezapomeňte odhlásit před
misc_do_not_forget_finish_before	Do not forget to finish before	Đừng quên kết thúc trước	Nezapomeňte dokončit před
misc_do_not_forget_finish_it	Do not forget to finish it	Đừng quên kết thúc nó	Nezapomeňte to dokončit
misc_do_not_forget_finish_it_before_shift_end	Do not forget to finish it before shift end	Đừng quên kết thúc trước khi ca làm việc kết thúc	nezapomeňte to dokončit před koncem směny
misc_documents	documents	tài liệu	dokumenty
misc_domain	domain	tên miền	doména
misc_download	download	tải về	stáhnout
misc_download_csv	Download CSV	Tải CSV	Stáhnout CSV
misc_draft_saved	draft saved	đã lưu nháp	koncept uložen
misc_duplicate	duplicate	trùng lặp	duplikát
misc_duration	Duration	Thời lượng	Doba trvání
misc_earliest_check_in_time	Earliest check-in time	Thời gian check-in sớm nhất	Nejbližší možný čas přihlášení
misc_early	early	sớm	dříve
misc_edit	Edit	Chỉnh sửa	Editace
misc_edit_form	Edit form	Sửa đơn	Úprava formuláře
misc_edit_user	Edit user	Sửa nhân viên	Upravit uživatele
misc_email	E-mail	E-mail	E-mail
misc_emails	E-mails	E-mail	E-maily
misc_employee	employee	nhân viên	zaměstnanec
misc_employees	employees	nhân viên	zaměstnanci
misc_enable	enable	bật	povolit
misc_enable_in_settings	enable in settings	bật trong cài đặt	povolit v nastavení
misc_enable_notification_to_receive_shift_reminders	enable notification to receive shift reminders	bật thông báo để nhận nhắc nhở ca làm việc	povolte oznámení pro připomenutí směny
misc_enable_notifications	enable notifications	bật thông báo	povolit oznámení
misc_end_time	end time	thời gian kết thúc	čas ukončení
misc_enter_token	Enter token	Nhập mã	Nastavit token
misc_enter_url	Enter URL	Nhập URL	Nastavit URL
misc_error	error	lỗi	chyba
misc_estimated_revenue	Estimated revenue	Doanh số dự kiến	Předpokládaná tržba
misc_example	example	ví dụ	příklad
misc_examples	examples	ví dụ	příklady
misc_exceeded_time	exceeded time	vượt quá thời gian	překročen čas
misc_expected	expected	mong muốn	očekávaný
misc_expected_end_time	Expected end time	Thời gian kết thúc dự kiến	Předpokládaný čas ukončení
misc_expected_shift_amount	Expected shift amount	Số ca dự kiến	Předpokládaný počet směn
misc_expected_working_time	expected working time	thời gian làm việc dự kiến	požadovaná pracovní doba
misc_expiration_date	expiration date	ngày hết hạn	den expirace
misc_export	export	export	exportovat
misc_export_csv	export csv	xuất dữ liệu CSV	exportovat CSV
misc_exposure_date	exposure date	ngày hiệu lực	den vystavení
misc_extend	extend	gia hạn	prodloužit
misc_extend_pos	extend POS	mở rộng POS	rozšířit POS
misc_extend_store	extend store	mở rộng cửa hàng	rozšířit provozovnu
misc_extra	extra	thêm	navíc
misc_false	false	không đúng	špatně
misc_faq_added	FAQ added	FAQ đã tạo	FAQ přidáno
misc_faq_deleted	FAQ deleted	FAQ đã xoá	FAQ smazáno
misc_faq_updated	FAQ updated	FAQ đã cập nhập	FAQ aktualizováno
misc_faqs	frequently asked questions	các câu hỏi thường gặp	často kladené otázky
misc_fetch_ares	Fetch from ARES	Tải từ ARES	Načíst z ARES
misc_fetch_coordinates	fetch coordinates	lấy toạ độ	získat souřadnice
misc_fetched_successfully	fetched successfully	lấy dữ liệu thành công	získání dat úspěšné
misc_field	Field	Các trường	Pole
misc_fields	Field	Các trường	Pole
misc_fill_pdf	Fill PDF	Điền PDF	Vyplnit PDF
misc_filling_in_the_address_fields	by filling in the address fields	bằng cách điền vào các trường địa chỉ	vyplněním polí adresy
misc_filter	Filter	Lọc	Filtr
misc_finish	finish	hoàn tất	ukončit
misc_finish_pause	finish pause	kết thúc tạm dừng	ukončit přerušení
misc_finished	Finished	Xong	Dokončeno
misc_first_name	first name	tên	jméno
misc_forgotten_password	Forgot password	Quên mật khẩu	Zapomenuté heslo
misc_form	Form	Đơn	Formulář
misc_form_addition	addition for form	chi tiết cho mẫu đơn	dodatek k formuláři
misc_form_contact	form contact	thông tin liên hệ của đơn	kontakty formuláře
misc_form_deleted	Form deleted	Đơn đã xoá	Formulář smazán
misc_form_not_linked	form not linked	đơn không kết nối	formulář není odkazován
misc_form_reference_added	Form reference added	đã tạo tham chiếu đơn	Reference formuláře přidána
misc_forms	Forms	Đơn	Formuláře
misc_forms_exist	forms exist	đơn tồn tại	formuláře existují
misc_front_side	front side	phía trước	přední strana
misc_full_name	Surname and first name	Họ và tên	Jméno a příjmení
misc_general	General	Chung	Obecné
misc_generate_documents	generate documents	tạo tài liệu	generovat dokumenty
misc_generate_keys	Generate keys	Tạo khoá	Generování klíčů
misc_generate_pdf	Generate PDF	Tạo PDF	Generovat PDF
misc_generate_token	generate token	tạo token	generovat token
misc_generate_token_and_send	generate token and send	tạo token và gửi	generovat token a odeslat
misc_generic_breaks	Generic breaks	Thời gian nghỉ chung	Obecné přestávky
misc_get_current_location	get current location	lấy vị trí hiện tại	získat aktuální polohu
misc_get_pdf	get PDF	tải PDF	stáhnout PDF
misc_getting_location	Getting location	Đang lấy vị trí	Získávání lokace
misc_getting_location_failed	Getting location failed	Không thể lấy vị trí	nelze získat lokaci
misc_grant_bluetooth_permission	grant Bluetooth permission	cho phép quyền Bluetooth	udělit povolení k použití Bluetooth
misc_grant_location_permission	grant location permission	cấp quyền truy cập vị trí	udělit povolení k použití polohy
misc_grant_permission	grant permission	cho phép quyền	udělit povolení
misc_has_active_terminal	Has active terminal	Có máy đang hoạt động	Má aktivní terminál
misc_has_registered_device	has registered device	đã đăng ký thiết bị	má registrované zařízení
misc_hidden	hidden	ẩn	skryto
misc_history_instructions	history instructions	hướng dẫn lịch sử	instrukce historie
misc_history_instructions_1	You can check your attendance history.	Bạn có thể kiểm tra lịch sử điểm danh của mình.	Můžete zkontrolovat historii docházky.
misc_history_instructions_2	choose the workplace between the tabs.	Chọn nơi làm việc giữa các tab.	Vyberte pracoviště mezi kartami.
misc_home_page	home page	trang chính	domovská stránka
misc_home_page_instructions	home page instructions	hướng dẫn trang chính	instrukce domovské stránky
misc_home_page_instructions_1	after registration, your employer will assign you shifts to the workplace.	đăng ký xong, nhà tuyển dụng sẽ giao ca làm việc cho bạn.	Po registraci vám zaměstnavatel přidělí směny na pracovišti.
misc_home_page_instructions_2	When is the time to check in, you will have to choose the shift and provide check in.	Đến giờ check in, bạn sẽ chọn ca làm việc và check in.	Až nastane čas přihlášení, budete muset vybrat směnu a přihlásit se.
misc_home_page_instructions_3	You must have the location permission to check in.	Bạn cần có quyền truy cập vị trí để check in.	Musíte mít povolení k přístupu k poloze, abyste se mohli přihlásit.
misc_home_page_instructions_4	Sometimes, you will be required to have bluetooth enabled to verify your location with specific device.	Đôi khi, bạn sẽ cần bật bluetooth để xác minh vị trí của mình với thiết bị cụ thể.	Někdy budete muset mít povolený Bluetooth, abyste ověřili svou polohu s konkrétním zařízením.
misc_home_page_instructions_5	during the shift, you can take breaks generated by the employer.	trong ca làm việc, bạn có thể nghỉ theo thời gian do nhà tuyển dụng quy định.	během směny můžete mít přestávky generované zaměstnavatelem.
misc_home_page_instructions_6	however for emergency, you can take a pause by yourself.	tuy nhiên trong trường hợp khẩn cấp, bạn có thể tự nghỉ.	ale v případě nouze můžete přestávku udělat sami.
misc_home_page_instructions_7	you can only have one break at a time.	bạn chỉ có thể nghỉ một lần.	můžete mít pouze jednu přestávku najednou.
misc_home_page_instructions_8	after the shift, you will have to check out.	sau ca làm việc, bạn sẽ phải check out.	Po směně se musíte odhlásit.
misc_home_page_instructions_9	be careful that you will not able to check out if you exceeded the allowed time.	hãy cẩn thận rằng bạn không thể check out nếu vượt quá thời gian cho phép.	buďte opatrní, že se nebudete moci odhlásit, pokud překročíte povolený čas.
misc_hour	hour	giờ	hodina
misc_hour_short	h.	giờ	hod.
misc_hours	hours	giờ	hodiny
misc_id_document	identity document	thẻ căn cước	osobní doklad
misc_import	import	import	import
misc_import_leads	import leads	tải lên leads	nahrát leady
misc_imported	imported	đã import	importováno
misc_imported_list	imported list	danh sách nhập	importovaný seznam
misc_info	information	thông tin	informace
misc_initial_instruction_1	You will need to register this device through your employer using QR Code or manually.	Bạn cần đăng ký thiết bị này thông qua nhà tuyển dụng bằng mã QR hoặc thủ công.	Budete muset zaregistrovat toto zařízení prostřednictvím svého zaměstnavatele pomocí QR kódu nebo ručně.
misc_initial_instruction_2	Please scan the QR code received from the employer.	Vui lòng quét mã QR nhận được từ nhà tuyển dụng.	Prosím, naskenujte QR kód přijatý od zaměstnavatele.
misc_initial_instruction_3	If you failed to scan the QR code, you can enter the server url of the provider.	Trong trường hợp không quét được mã QR, bạn có thể nhập URL máy chủ của nhà phát hành.	Pokud se vám nepodaří naskenovat QR kód, můžete zadat adresu serveru poskytovatele.
misc_initial_instruction_4	You can add many workplaces by following the same process.	Bạn có thể thêm nhiều nơi làm việc bằng cách làm theo quy trình tương tự.	Můžete přidat více pracovišť podle stejného procesu.
misc_initial_instructions	initial instructions	hướng dẫn ban đầu	úvodní instrukce
misc_installation_fee	installation fees	phí lắp đặt	poplatky za instalace
misc_installed	installed	đã lắp	instalováno
misc_instructions	Instructions	Hướng dẫn	Instrukce
misc_is_available	is available	có sẵn	dostupný
misc_issued	issued	cấp bởi	vystavil
misc_issued_bills	issued bills	hoá đơn đã cấp	vystavené faktury
misc_issuer	issuer	nhà phát hành	vystavitel
misc_item	item	mục	položka
misc_items	items	mục	položky
misc_key	key	chìa khoá	klíč
misc_language	Language	Ngôn ngữ	Jazyk
misc_last_name	last name	họ	příjmení
misc_last_update	last update	cập nhập lần cuối	poslední aktualizace
misc_late	late	trễ	pozdě
misc_latest_check_out_time	Latest check-out time	Thời gian check-out muộn nhất	Nejpozdější čas odhlášení
misc_latitude	latitude	vĩ độ	zeměpisná šířka
misc_leads	leads	leads	leads
misc_load_transactions	load transactions	tải giao dịch	načíst transakce
misc_loaded	loaded	đã tải	načteno
misc_loading_data	loading data	đang tải dữ liệu	data se načítá
misc_local_devices	local devices	thiết bị cục bộ	Lokální zařízení
misc_location_not_found	location not found	không tìm thấy vị trí	poloha nenalezena
misc_location_permission_required	location permission required	cần quyền sử dụng vị trí	požadováno povolení k použití polohy
misc_login	Login	Đăng nhập	Přihlášení
misc_longitude	longitude	kinh độ	zeměpisná délka
misc_lunch	Lunch	Bữa trưa	Oběd
misc_managed_by	merchant managed by	được quản lý bởi	pod kontrolou
misc_manager	Manager	Quản lý	Manažer
misc_maturity_period	Maturity period	Thời hạn đáo hạn	Doba splatnosti
misc_max_duration	max duration	thời gian tối đa	maximální doba trvání
misc_max_local_devices	max local devices	thiết bị cục bộ tối đa	Maximální lokální zařízení
misc_merchant	merchant	nhà bán buôn	obchodník
misc_merchant_email	merchant e-mail	e-mail nhà bán buôn	e-mail obchodníka
misc_merchant_exists	merchant exists	nhà bán buôn đã tồn tại	obchodník již existuje
misc_merchant_not_exist	merchant not exists	nhà bán buôn không tồn tại	obchodník neexistuje
misc_merchant_telephone	merchant telephone	số điện thoại nhà bán buôn	telefonní číslo obchodníka
misc_merchants	merchants	nhà bán buôn	obchodníci
misc_message	message	thông báo	zpráva
misc_method	Method	Phương thức	Metoda
misc_min	minute	phút	minut
misc_min_short	min.	phút	min.
misc_mins	minutes	phút	minuty
misc_minutes	Minutes	Phút	Minuty
misc_missing	missing	thiếu	chybí
misc_missing_check_in	Missing check in	Thiếu check in	Chybí příchod
misc_missing_check_out	Missing check out	Thiếu check out	Chybí odchod
misc_model	model	model	model
misc_modified	modifed	đã thay đổi	modifikováno
misc_month	month	tháng	měsíc
misc_month_april	april	tháng 4	duben
misc_month_april_short	apr	t4	dub
misc_month_august	august	tháng 8	srpen
misc_month_august_short	aug	t8	srp
misc_month_december	december	tháng 12	prosinec
misc_month_december_short	dec	t12	pro
misc_month_february	february	tháng 2	únor
misc_month_february_short	feb	t2	únor
misc_month_january	january	tháng 1	leden
misc_month_january_short	jan	t1	led
misc_month_july	july	tháng 7	červenec
misc_month_july_short	jul	t7	čvrnec
misc_month_june	june	tháng 6	červen
misc_month_june_short	jun	t6	čvrn
misc_month_march	march	tháng 3	březen
misc_month_march_short	mar	t3	břez
misc_month_may	may	tháng 5	květen
misc_month_may_short	may	t5	květ
misc_month_november	november	tháng 11	listopad
misc_month_november_short	nov	t11	lis
misc_month_october	october	tháng 10	říjen
misc_month_october_short	oct	t10	říj
misc_month_september	september	tháng 9	září
misc_month_september_short	sep	t9	zář
misc_move_from	move from	chuyển từ	odkazován od
misc_move_status_to	move status to	chuyển trạng thái thành	přepnout do statusu
misc_move_to	move to	chuyển đến	odkazován na
misc_must_be_registered_by_employer	you must be registered by employer	bạn phải được đăng ký bởi nhà tuyển dụng	musíte být registrován(a) zaměstnavatelem
misc_must_have_attendance	must have attendance	phải có điểm danh	musíte zahájit docházku
misc_my_profile	my profile	thông tin cá nhân	osobní profil
misc_my_today_workplaces	my today working places	nơi làm việc hôm nay của tôi	moje dnešní pracoviště
misc_my_working_hours	my working hours	thời gian làm việc của tôi	moje pracovní doba
misc_name	Name	Tên	Název
misc_nearby_workplaces	nearby workplaces	chỗ làm gần đây	blízká pracoviště
misc_need_camera_permission_to_scan	we need camera permission to scan	chúng tôi cần quyền truy cập camera để scan	potřebujeme povolení k použití kamery pro skenování
misc_new	new	mới	nový
misc_new_bill	new bill	hoá đơn mới	nová faktura
misc_new_company	new company	công ty mới	Nová společnost
misc_new_contract	new contract	hợp đồng mới	nová smlouva
misc_new_employee	new employee	nhân viên mới	nový zaměstnanec
misc_new_faq	New FAQ	FAQ mới	Nové FAQ
misc_new_form	new form	đơn mới	nový formulář
misc_new_merchant	New Merchant	Nhà bán buôn mới	Nový obchodník
misc_new_password	New password	Mật khẩu mới	Nové heslo
misc_new_payment_terminal	New payment terminal	Máy trả thẻ mới	Nový platební terminál
misc_new_store	new store	cửa hàng mới	nová provozovna
misc_new_user	new user	người dùng mới	nový uživatel
misc_next_month	next month	tháng sau	další měsíc
misc_no	no	không	ne
misc_no_attendance	no attendance	không có dữ liệu điểm danh	není žádná docházka
misc_no_breaks	No breaks	Không có giờ nghỉ	žádné přestávky
misc_no_columns	no columns	không có cột	nejsou žádné sloupce
misc_no_company	no company	không có công ty	není žádná společnost
misc_no_document	no document	không có tài liệu	žádný dokument
misc_no_document_uploaded	no document uploaded	không có tài liệu nào được tải lên	žádný dokument nebyl nahrán
misc_no_local_device	no local devices	không có thiết bị cục bộ	není žádné lokální zařízení
misc_no_nearby_workplace	no nearby workplace found	không có chỗ làm việc gần đây	není nalezeno žádné blízké pracoviště
misc_no_pauses	No pauses	Không có thời gian nghỉ	žádné přerušení
misc_no_shifts	no shifts	không có ca làm việc	žádné směny
misc_no_store	No store	Không có cửa hàng	Žádná provozovna
misc_no_terminal	no terminals	không có máy	žádný terminál
misc_no_terminal_model	mo specific terminal model	không có model máy chính xác	není specifický model terminálu
misc_no_transaction	No transactions	Không có giao dịch	Žádná transakce
misc_no_transactions	no transaction	không có giao dịch	žádná transakce
misc_no_workplace	no workplace	không có nơi làm việc	žádné pracoviště
misc_non_taxpayer	non taxpayer	người không trả thuế	neplátce DPH
misc_not_checked_in	Not checked in	Chưa check in	Příchod nezadáno
misc_not_checked_out	Not checked out	Chưa check out	Odchod nezadáno
misc_not_included	not included	không được bao gồm	nezahrnuto
misc_not_provided_check_in	Not provided check in	Không có check in	není poskytnuto přihlášení
misc_not_provided_check_out	Not provided check out	Không có check out	není poskytnuto odhlášení
misc_not_started	not started	chưa bắt đầu	nezačalo
misc_notes	Notes	Ghi chú	Poznámky
misc_notification	Notification	Thông báo	Notifikace
misc_opening	opening	đang mở	otevřeno
misc_opening_soon	opening soon	sắp mở cửa	brzy otevřeno
misc_operations	Operations	Tác vụ	Operace
misc_other	other	khác	jiné
misc_others	others	khác	jiné
misc_out_of_hours	out of Hours	đã qua giờ làm việc	mimo pracovní dobu
misc_outside_time	outside time	ngoài thời gian	mimo čas
